ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-16,10480553844.413584,6672092874.979973,18301444442.03954,10480553844.413584,10480553844.413584,2045662393.4157255,2045662393.4157255,2045662393.4157255,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.9026356,-153732355.9026356,-153732355.9026356,66408694.55805306,66408694.55805306,66408694.55805306,0.0,0.0,0.0,12526216237.82931
2020-01-17,10489447506.162403,8966938757.732697,20147176306.32854,10489447506.162403,10489447506.162403,3769598734.905499,3769598734.905499,3769598734.905499,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0550725,1358968902.0550725,1358968902.0550725,277643778.090118,277643778.090118,277643778.090118,0.0,0.0,0.0,14259046241.067902
2020-01-21,10525022153.157675,7407166057.057698,18875505539.426544,10525022153.157675,10525022153.157675,2793821533.697052,2793821533.697052,2793821533.697052,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.63526475,-307212085.63526475,-307212085.63526475,968047564.5720086,968047564.5720086,968047564.5720086,0.0,0.0,0.0,13318843686.854727
2020-01-22,10533915814.906492,7557205553.289196,19168993412.288364,10533915814.906492,10533915814.906492,2705095825.0092263,2705095825.0092263,2705095825.0092263,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76202977,-507539372.76202977,-507539372.76202977,1079649143.010948,1079649143.010948,1079649143.010948,0.0,0.0,0.0,13239011639.915718
2020-01-23,10542809476.655313,8024220351.288114,19733520770.027225,10542809476.655313,10542809476.655313,3139288740.777521,3139288740.777521,3139288740.777521,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90176454,-153732355.90176454,-153732355.90176454,1160035041.9189773,1160035041.9189773,1160035041.9189773,0.0,0.0,0.0,13682098217.432835
2020-01-24,10551703138.40413,9346420082.34471,20695512996.7764,10551703138.40413,10551703138.40413,4699047326.235324,4699047326.235324,4699047326.235324,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0552464,1358968902.0552464,1358968902.0552464,1207092369.4197695,1207092369.4197695,1207092369.4197695,0.0,0.0,0.0,15250750464.639454
2020-01-27,10578384123.650585,7800459086.313152,19766250873.141895,10578384123.650585,10578384123.650585,3415472375.822563,3415472375.822563,3415472375.822563,2132986054.760308,2132986054.760308,2132986054.760308,142761004.0156508,142761004.0156508,142761004.0156508,1139725317.0466042,1139725317.0466042,1139725317.0466042,0.0,0.0,0.0,13993856499.473148
2020-01-28,10587277785.399403,7561375048.088076,19141191152.704613,10587277785.399403,10587277785.399403,2874945534.892587,2874945534.892587,2874945534.892587,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.6390436,-307212085.6390436,-307212085.6390436,1049171565.7713227,1049171565.7713227,1049171565.7713227,0.0,0.0,0.0,13462223320.29199
2020-01-29,10596171447.148222,7854686335.321503,18829559016.95445,10596171447.148222,10596171447.148222,2552804848.2570696,2552804848.2570696,2552804848.2570696,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.7596692,-507539372.7596692,-507539372.7596692,927358166.2564305,927358166.2564305,927358166.2564305,0.0,0.0,0.0,13148976295.405293
2020-01-30,10605065108.89704,7435656264.197314,19101810543.564556,10605065108.89704,10605065108.89704,2756374406.299292,2756374406.299292,2756374406.299292,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90010563,-153732355.90010563,-153732355.90010563,777120707.4390894,777120707.4390894,777120707.4390894,0.0,0.0,0.0,13361439515.196331
2020-01-31,10613958770.645859,8757740424.282766,20544126065.23222,10613958770.645859,10613958770.645859,4093932361.322937,4093932361.322937,4093932361.322937,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.055824,1358968902.055824,1358968902.055824,601977404.5068047,601977404.5068047,601977404.5068047,0.0,0.0,0.0,14707891131.968796
2020-02-03,10640639755.892313,6650277163.147969,18528345845.54814,10640639755.892313,10640639755.892313,2246365664.8776956,2246365664.8776956,2246365664.8776956,2132986054.760308,2132986054.760308,2132986054.760308,142761004.0149303,142761004.0149303,142761004.0149303,-29381393.897542574,-29381393.897542574,-29381393.897542574,0.0,0.0,0.0,12887005420.770008
