Date,Close,Volume,CashInflow,Outlier_IQR
2017-01-03,26.827241897583008,115127600,3088555974.2881775,False
2017-01-04,26.79721450805664,84472400,2263625022.810364,False
2017-01-05,26.933490753173828,88774400,2391004481.5185547,False
2017-01-06,27.233753204345703,127007600,3458893633.4762573,False
2017-01-09,27.48320198059082,134247600,3689553906.209564,False
2017-01-10,27.510921478271484,97848400,2691899649.1744995,False
2017-01-11,27.658740997314453,110354400,3052263767.514038,False
2017-01-12,27.543254852294922,108344800,2984168438.320923,False
2017-01-13,27.4947509765625,104447600,2871760752.0996094,False
2017-01-17,27.716489791870117,137759200,3818201460.536194,False
2017-01-18,27.714174270629883,94852000,2628744857.9177856,False
2017-01-19,27.665664672851562,102389200,2832665273.321533,False
2017-01-20,27.716489791870117,130391600,3613997450.3456116,False
2017-01-23,27.734962463378906,88200800,2446245877.23999,False
2017-01-24,27.709550857543945,92844000,2572665539.81781,False
2017-01-25,28.150707244873047,129510400,3645809355.5664062,False
2017-01-26,28.16455841064453,105350400,2967147494.3847656,False
2017-01-27,28.1668758392334,82251600,2316770604.77829,False
2017-01-30,28.09296989440918,121510000,3413576771.8696594,False
2017-01-31,28.028287887573242,196804000,5516079169.425964,False
2017-02-01,29.737476348876953,447940000,13320605155.715942,True
2017-02-02,29.686660766601562,134841600,4002996836.4257812,False
2017-02-03,29.81369400024414,98029200,2922612571.888733,False
2017-02-06,30.093170166015625,107383600,3231512947.8393555,False
2017-02-07,30.379579544067383,152735200,4640031157.579041,False
2017-02-08,30.49736785888672,92016400,2806257999.850464,False
2017-02-09,30.717742919921875,113399600,3483379760.0219727,False
2017-02-10,30.64815330505371,80262000,2459882080.570221,False
2017-02-13,30.919557571411133,92141600,2848977505.921936,False
2017-02-14,31.320873260498047,132904800,4162694396.511841,False
2017-02-15,31.434539794921875,142492400,4479183018.273926,False
2017-02-16,31.39741325378418,90338400,2836392077.4856567,False
2017-02-17,31.48325538635254,88792800,2795486398.8693237,False
2017-02-21,31.7105770111084,98028800,3108549811.706543,False
2017-02-22,31.805696487426758,83347600,2650928468.5554504,False
2017-02-23,31.671144485473633,83152800,2633544343.171692,False
2017-02-24,31.7012996673584,87106400,2761386089.3447876,False
2017-02-27,31.76392936706543,81029600,2573818491.041565,False
2017-02-28,31.777856826782227,93931600,2984944936.3105774,False
2017-03-01,32.4273796081543,145658400,4723320229.916382,False
2017-03-02,32.23483657836914,104844000,3379629206.222534,False
2017-03-03,32.42506408691406,84432400,2737725981.011963,False
2017-03-06,32.322998046875,87000000,2812100830.078125,False
2017-03-07,32.36473846435547,69785200,2258579746.6827393,False
2017-03-08,32.24412536621094,74828800,2412789208.203125,False
2017-03-09,32.169891357421875,88623600,2851011583.7036133,False
2017-03-10,32.2765998840332,78451200,2532137992.8222656,False
2017-03-13,32.29051208496094,69686800,2250222457.562256,False
2017-03-14,32.24180221557617,61236400,1974371897.1939087,False
2017-03-15,32.58280944824219,102767200,3348444095.1293945,False
2017-03-16,32.63615417480469,76928000,2510634068.359375,False
2017-03-17,32.473777770996094,175540000,5700446949.920654,False
2017-03-20,32.814781188964844,86168000,2827584065.4907227,False
2017-03-21,32.43897247314453,158119600,5129237351.864624,False
2017-03-22,32.80548858642578,103440800,3393425983.770752,False
2017-03-23,32.68950653076172,81385200,2660442026.9073486,False
2017-03-24,32.62454605102539,89582400,2922585134.161377,False
2017-03-27,32.68024444580078,94300400,3081760123.336792,False
2017-03-28,33.35758590698242,133499200,4453211032.513428,False
2017-03-29,33.431819915771484,116760000,3903499293.3654785,False
2017-03-30,33.38773727416992,84829200,2832255042.778015,False
2017-03-31,33.32510757446289,78646800,2620913070.387268,False
2017-04-03,33.33438491821289,79942800,2664844066.6397095,False
2017-04-04,33.58259963989258,79565600,2672019689.907837,False
2017-04-05,33.40862274169922,110871600,3704067457.168579,False
2017-04-06,33.32510757446289,84596000,2819170800.3692627,False
2017-04-07,33.25087356567383,66688800,2217460857.046509,False
2017-04-10,33.21144104003906,75733600,2515221991.1499023,False
2017-04-11,32.854209899902344,121517600,3992364736.932373,False
2017-04-12,32.89364242553711,81400000,2677542493.4387207,False
2017-04-13,32.71965026855469,71291600,2332636219.0856934,False
2017-04-17,32.900596618652344,66328400,2182243932.76062,False
2017-04-18,32.754459381103516,58790000,1925634667.0150757,False
2017-04-19,32.63382339477539,69313600,2261967781.2561035,False
2017-04-20,33.04209899902344,93278400,3082114127.270508,False
2017-04-21,33.00266647338867,69283600,2286543542.8756714,False
2017-04-24,33.32046890258789,68537200,2283691641.270447,False
2017-04-25,33.52692413330078,75486000,2530813395.126343,False
2017-04-26,33.32974624633789,80164800,2671872441.8884277,False
2017-04-27,33.355262756347656,56985200,1900756319.2230225,False
2017-04-28,33.32279968261719,83441600,2780507721.9970703,False
2017-05-01,34.00247573852539,134411600,4570327167.976379,False
2017-05-02,34.21819305419922,181408800,6207481340.130615,False
2017-05-03,34.11381149291992,182788000,6235595375.167847,False
2017-05-04,33.990867614746094,93487600,3177724635.220337,False
2017-05-05,34.554569244384766,109310800,3777187607.759094,False
2017-05-08,35.49404525756836,195009600,6921679568.060303,True
2017-05-09,35.72138595581055,156521600,5591168484.020996,False
2017-05-10,35.552024841308594,103222800,3669779549.7894287,False
2017-05-11,35.859493255615234,109020400,3909416298.524475,False
2017-05-12,36.360321044921875,130108000,4730768650.512695,False
2017-05-15,36.26713180541992,104038800,3773188872.477722,False
2017-05-16,36.21356201171875,80194000,2904110391.9677734,False
2017-05-17,34.99767303466797,203070800,7107005461.288452,True
2017-05-18,35.53107452392578,134272800,4770856863.336182,False
2017-05-19,35.652198791503906,107843200,3844847204.711914,False
2017-05-22,35.868831634521484,91865600,3295111739.404297,False
2017-05-23,35.82456970214844,79675600,2854344085.760498,False
2017-05-24,35.71742630004883,76712000,2739955206.3293457,False
2017-05-25,35.84086990356445,76942400,2757682548.4680176,False
2017-05-26,35.78031539916992,87710400,3138305775.7873535,False
2017-05-30,35.79428482055664,80507600,2881711964.619446,False
2017-05-31,35.58230972290039,97804800,3480120685.986328,False
2017-06-01,35.680145263671875,65616400,2341202683.679199,False
